no,position,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
1,bottom,0,79,79,0,1
1,top,0,81,81,0,1
2,bottom,0,83,83,0,1
2,top,0,77,77,0,1
3,top,46,32,78,0.58974359,0.41025641
3,bottom,12,70,82,0.146341463,0.853658537
4,bottom,65,22,87,0.747126437,0.252873563
4,top,30,43,73,0.410958904,0.589041096
5,bottom,82,0,82,1,0
5,top,78,0,78,1,0
6,bottom,67,4,71,0.943661972,0.056338028
6,top,5,84,89,0.056179775,0.943820225
7,bottom,1,72,73,0.01369863,0.98630137
7,top,0,87,87,0,1
8,bottom,0,82,82,0,1
8,top,0,78,78,0,1
9,bottom,0,69,69,0,1
9,top,0,90,90,0,1
10,bottom,0,74,74,0,1
10,top,0,86,86,0,1
11,bottom,3,79,82,0.036585366,0.963414634
11,top,1,77,78,0.012820513,0.987179487
12,bottom,1,80,81,0.012345679,0.987654321
12,top,0,79,79,0,1
13,bottom,5,84,89,0.056179775,0.943820225
13,top,1,70,71,0.014084507,0.985915493
14,bottom,0,90,90,0,1
14,top,0,70,70,0,1
15,bottom,5,80,85,0.058823529,0.941176471
15,top,4,71,75,0.053333333,0.946666667
16,top,16,62,78,0.205128205,0.794871795
16,bottom,4,78,82,0.048780488,0.951219512
17,top,1,89,90,0.011111111,0.988888889
17,bottom,0,70,70,0,1
18,bottom,49,38,87,0.563218391,0.436781609
18,top,0,73,73,0,1
19,bottom,7,83,90,0.077777778,0.922222222
19,top,0,67,67,0,1
20,bottom,0,82,82,0,1
20,top,0,78,78,0,1
21,top,81,1,82,0.987804878,0.012195122
21,bottom,73,5,78,0.935897436,0.064102564
22,bottom,0,90,90,0,1
22,top,0,70,70,0,1
23,top,2,74,76,0.026315789,0.973684211
23,bottom,1,83,84,0.011904762,0.988095238
24,bottom,0,80,80,0,1
24,top,0,80,80,0,1
25,top,9,70,79,0.113924051,0.886075949
25,bottom,7,74,81,0.086419753,0.913580247
26,bottom,74,0,74,1,0
26,top,86,0,86,1,0
27,bottom,34,37,71,0.478873239,0.521126761
27,top,12,77,89,0.134831461,0.865168539
28,top,4,75,79,0.050632911,0.949367089
28,bottom,4,76,80,0.05,0.95
29,bottom,22,48,70,0.314285714,0.685714286
29,top,9,81,90,0.1,0.9
30,bottom,2,74,76,0.026315789,0.973684211
30,top,2,82,84,0.023809524,0.976190476
31,top,2,70,72,0.027777778,0.972222222
31,bottom,1,87,88,0.011363636,0.988636364
32,top,2,75,77,0.025974026,0.974025974
32,bottom,1,82,83,0.012048193,0.987951807
33,top,1,60,61,0.016393443,0.983606557
33,bottom,0,67,67,0,1
34,top,24,63,87,0.275862069,0.724137931
34,bottom,5,66,71,0.070422535,0.929577465
35,bottom,0,83,83,0,1
35,top,0,77,77,0,1
36,bottom,1,79,80,0.0125,0.9875
36,top,1,79,80,0.0125,0.9875
