no, control, position, SR_0_count, SR_1_count, total, SR_0_ratio          , SR_1_ratio
 1, D      , bottom  ,          0,         38,    38, 0.0                 , 1.0
 1, D      , top     ,          0,         42,    42, 0.0                 , 1.0
 1, I      , bottom  ,          0,         41,    41, 0.0                 , 1.0
 1, I      , top     ,          0,         39,    39, 0.0                 , 1.0
10, D      , bottom  ,          0,         33,    33, 0.0                 , 1.0
10, D      , top     ,          0,         47,    47, 0.0                 , 1.0
10, I      , bottom  ,          0,         41,    41, 0.0                 , 1.0
10, I      , top     ,          0,         39,    39, 0.0                 , 1.0
11, D      , bottom  ,          2,         39,    41, 0.04878048780487805 , 0.9512195121951219
11, D      , top     ,          1,         38,    39, 0.02564102564102564 , 0.9743589743589743
11, I      , bottom  ,          1,         40,    41, 0.024390243902439025, 0.975609756097561
11, I      , top     ,          0,         39,    39, 0.0                 , 1.0
12, D      , bottom  ,          0,         45,    45, 0.0                 , 1.0
12, D      , top     ,          0,         35,    35, 0.0                 , 1.0
12, I      , bottom  ,          1,         35,    36, 0.027777777777777776, 0.9722222222222222
12, I      , top     ,          0,         44,    44, 0.0                 , 1.0
13, D      , bottom  ,          1,         46,    47, 0.02127659574468085 , 0.9787234042553191
13, D      , top     ,          1,         32,    33, 0.030303030303030304, 0.9696969696969697
13, I      , bottom  ,          4,         38,    42, 0.09523809523809523 , 0.9047619047619048
13, I      , top     ,          0,         38,    38, 0.0                 , 1.0
14, D      , bottom  ,          0,         45,    45, 0.0                 , 1.0
14, D      , top     ,          0,         35,    35, 0.0                 , 1.0
14, I      , bottom  ,          0,         45,    45, 0.0                 , 1.0
14, I      , top     ,          0,         35,    35, 0.0                 , 1.0
15, D      , bottom  ,          0,         46,    46, 0.0                 , 1.0
15, D      , top     ,          0,         34,    34, 0.0                 , 1.0
15, I      , bottom  ,          5,         34,    39, 0.1282051282051282  , 0.8717948717948718
15, I      , top     ,          4,         37,    41, 0.0975609756097561  , 0.9024390243902439
16, D      , bottom  ,          2,         36,    38, 0.05263157894736842 , 0.9473684210526315
16, D      , top     ,          5,         37,    42, 0.11904761904761904 , 0.8809523809523809
16, I      , bottom  ,          2,         42,    44, 0.045454545454545456, 0.9545454545454546
16, I      , top     ,         11,         25,    36, 0.3055555555555556  , 0.6944444444444444
17, D      , bottom  ,          0,         39,    39, 0.0                 , 1.0
17, D      , top     ,          1,         40,    41, 0.024390243902439025, 0.975609756097561
17, I      , bottom  ,          0,         31,    31, 0.0                 , 1.0
17, I      , top     ,          0,         49,    49, 0.0                 , 1.0
18, D      , bottom  ,          3,         38,    41, 0.07317073170731707 , 0.926829268292683
18, D      , top     ,          0,         39,    39, 0.0                 , 1.0
18, I      , bottom  ,         46,          0,    46, 1.0                 , 0.0
18, I      , top     ,          0,         34,    34, 0.0                 , 1.0
19, D      , bottom  ,          0,         44,    44, 0.0                 , 1.0
19, D      , top     ,          0,         34,    34, 0.0                 , 1.0
19, I      , bottom  ,          7,         39,    46, 0.15217391304347827 , 0.8478260869565217
19, I      , top     ,          0,         33,    33, 0.0                 , 1.0
 2, D      , bottom  ,          0,         37,    37, 0.0                 , 1.0
 2, D      , top     ,          0,         43,    43, 0.0                 , 1.0
 2, I      , bottom  ,          0,         46,    46, 0.0                 , 1.0
 2, I      , top     ,          0,         34,    34, 0.0                 , 1.0
20, D      , bottom  ,          0,         39,    39, 0.0                 , 1.0
20, D      , top     ,          0,         41,    41, 0.0                 , 1.0
20, I      , bottom  ,          0,         43,    43, 0.0                 , 1.0
20, I      , top     ,          0,         37,    37, 0.0                 , 1.0
21, D      , bottom  ,         30,          2,    32, 0.9375              , 0.0625
21, D      , top     ,         47,          1,    48, 0.9791666666666666  , 0.020833333333333332
21, I      , bottom  ,         43,          3,    46, 0.9347826086956522  , 0.06521739130434782
21, I      , top     ,         34,          0,    34, 1.0                 , 0.0
22, D      , bottom  ,          0,         40,    40, 0.0                 , 1.0
22, D      , top     ,          0,         40,    40, 0.0                 , 1.0
22, I      , bottom  ,          0,         50,    50, 0.0                 , 1.0
22, I      , top     ,          0,         30,    30, 0.0                 , 1.0
23, D      , bottom  ,          1,         44,    45, 0.022222222222222223, 0.9777777777777777
23, D      , top     ,          2,         33,    35, 0.05714285714285714 , 0.9428571428571428
23, I      , bottom  ,          0,         39,    39, 0.0                 , 1.0
23, I      , top     ,          0,         41,    41, 0.0                 , 1.0
24, D      , bottom  ,          0,         41,    41, 0.0                 , 1.0
24, D      , top     ,          0,         39,    39, 0.0                 , 1.0
24, I      , bottom  ,          0,         39,    39, 0.0                 , 1.0
24, I      , top     ,          0,         41,    41, 0.0                 , 1.0
25, D      , bottom  ,          1,         44,    45, 0.022222222222222223, 0.9777777777777777
25, D      , top     ,          5,         30,    35, 0.14285714285714285 , 0.8571428571428571
25, I      , bottom  ,          6,         30,    36, 0.16666666666666666 , 0.8333333333333334
25, I      , top     ,          4,         40,    44, 0.09090909090909091 , 0.9090909090909091
26, D      , bottom  ,         36,          0,    36, 1.0                 , 0.0
26, D      , top     ,         44,          0,    44, 1.0                 , 0.0
26, I      , bottom  ,         38,          0,    38, 1.0                 , 0.0
26, I      , top     ,         42,          0,    42, 1.0                 , 0.0
27, D      , bottom  ,         13,         19,    32, 0.40625             , 0.59375
27, D      , top     ,          4,         44,    48, 0.08333333333333333 , 0.9166666666666666
27, I      , bottom  ,         21,         18,    39, 0.5384615384615384  , 0.46153846153846156
27, I      , top     ,          8,         33,    41, 0.1951219512195122  , 0.8048780487804879
28, D      , bottom  ,          4,         36,    40, 0.1                 , 0.9
28, D      , top     ,          4,         36,    40, 0.1                 , 0.9
28, I      , bottom  ,          0,         40,    40, 0.0                 , 1.0
28, I      , top     ,          0,         39,    39, 0.0                 , 1.0
29, D      , bottom  ,         12,         27,    39, 0.3076923076923077  , 0.6923076923076923
29, D      , top     ,          4,         37,    41, 0.0975609756097561  , 0.9024390243902439
29, I      , bottom  ,         10,         21,    31, 0.3225806451612903  , 0.6774193548387096
29, I      , top     ,          5,         44,    49, 0.10204081632653061 , 0.8979591836734694
 3, D      , bottom  ,          0,         39,    39, 0.0                 , 1.0
 3, D      , top     ,         35,          6,    41, 0.8536585365853658  , 0.14634146341463414
 3, I      , bottom  ,         12,         31,    43, 0.27906976744186046 , 0.7209302325581395
 3, I      , top     ,         11,         26,    37, 0.2972972972972973  , 0.7027027027027027
30, D      , bottom  ,          2,         34,    36, 0.05555555555555555 , 0.9444444444444444
30, D      , top     ,          1,         43,    44, 0.022727272727272728, 0.9772727272727273
30, I      , bottom  ,          0,         40,    40, 0.0                 , 1.0
30, I      , top     ,          1,         39,    40, 0.025               , 0.975
31, D      , bottom  ,          0,         46,    46, 0.0                 , 1.0
31, D      , top     ,          2,         32,    34, 0.058823529411764705, 0.9411764705882353
31, I      , bottom  ,          1,         41,    42, 0.023809523809523808, 0.9761904761904762
31, I      , top     ,          0,         38,    38, 0.0                 , 1.0
32, D      , bottom  ,          0,         44,    44, 0.0                 , 1.0
32, D      , top     ,          2,         34,    36, 0.05555555555555555 , 0.9444444444444444
32, I      , bottom  ,          1,         38,    39, 0.02564102564102564 , 0.9743589743589743
32, I      , top     ,          0,         41,    41, 0.0                 , 1.0
33, D      , bottom  ,          0,         26,    26, 0.0                 , 1.0
33, D      , top     ,          1,         37,    38, 0.02631578947368421 , 0.9736842105263158
33, I      , bottom  ,          0,         41,    41, 0.0                 , 1.0
33, I      , top     ,          0,         23,    23, 0.0                 , 1.0
34, D      , bottom  ,          3,         33,    36, 0.08333333333333333 , 0.9166666666666666
34, D      , top     ,         15,         28,    43, 0.3488372093023256  , 0.6511627906976745
34, I      , bottom  ,          2,         33,    35, 0.05714285714285714 , 0.9428571428571428
34, I      , top     ,          9,         35,    44, 0.20454545454545456 , 0.7954545454545454
35, D      , bottom  ,          0,         42,    42, 0.0                 , 1.0
35, D      , top     ,          0,         38,    38, 0.0                 , 1.0
35, I      , bottom  ,          0,         41,    41, 0.0                 , 1.0
35, I      , top     ,          0,         39,    39, 0.0                 , 1.0
36, D      , bottom  ,          1,         36,    37, 0.02702702702702703 , 0.972972972972973
36, D      , top     ,          1,         42,    43, 0.023255813953488372, 0.9767441860465116
36, I      , bottom  ,          0,         43,    43, 0.0                 , 1.0
36, I      , top     ,          0,         37,    37, 0.0                 , 1.0
 4, D      , bottom  ,         22,         19,    41, 0.5365853658536586  , 0.4634146341463415
 4, D      , top     ,         19,         20,    39, 0.48717948717948717 , 0.5128205128205128
 4, I      , bottom  ,         43,          3,    46, 0.9347826086956522  , 0.06521739130434782
 4, I      , top     ,         11,         23,    34, 0.3235294117647059  , 0.6764705882352942
 5, D      , bottom  ,         45,          0,    45, 1.0                 , 0.0
 5, D      , top     ,         35,          0,    35, 1.0                 , 0.0
 5, I      , bottom  ,         37,          0,    37, 1.0                 , 0.0
 5, I      , top     ,         43,          0,    43, 1.0                 , 0.0
 6, D      , bottom  ,         30,          0,    30, 1.0                 , 0.0
 6, D      , top     ,          0,         50,    50, 0.0                 , 1.0
 6, I      , bottom  ,         37,          4,    41, 0.9024390243902439  , 0.0975609756097561
 6, I      , top     ,          5,         34,    39, 0.1282051282051282  , 0.8717948717948718
 7, D      , bottom  ,          1,         33,    34, 0.029411764705882353, 0.9705882352941176
 7, D      , top     ,          0,         46,    46, 0.0                 , 1.0
 7, I      , bottom  ,          0,         39,    39, 0.0                 , 1.0
 7, I      , top     ,          0,         41,    41, 0.0                 , 1.0
 8, D      , bottom  ,          0,         37,    37, 0.0                 , 1.0
 8, D      , top     ,          0,         43,    43, 0.0                 , 1.0
 8, I      , bottom  ,          0,         45,    45, 0.0                 , 1.0
 8, I      , top     ,          0,         35,    35, 0.0                 , 1.0
 9, D      , bottom  ,          0,         32,    32, 0.0                 , 1.0
 9, D      , top     ,          0,         48,    48, 0.0                 , 1.0
 9, I      , bottom  ,          0,         37,    37, 0.0                 , 1.0
 9, I      , top     ,          0,         42,    42, 0.0                 , 1.0
